peopleAhead,activeCounters,serviceType,timeOfDay,dayOfWeek,actualWaitMinutes
7,2,general,3,2,29.0
13,2,quick,8,1,16.2
2,4,specialist,10,2,6.5
1,4,specialist,12,4,5.7
27,2,general,22,1,109.6
12,2,specialist,1,1,87.8
22,4,specialist,6,2,83.8
26,3,specialist,23,5,130.1
29,1,quick,0,0,99.4
20,3,general,12,4,72.3
29,3,quick,16,6,36.7
21,4,specialist,9,3,79.2
19,2,specialist,17,3,184.3
29,2,general,23,6,113.7
22,4,quick,7,1,16.6
23,2,quick,13,1,43.8
16,3,general,14,0,49.4
16,2,specialist,17,5,154.3
8,3,quick,0,2,10.3
3,4,quick,1,3,0.0
22,2,quick,4,0,35.6
24,3,specialist,0,3,121.0
11,4,general,4,0,23.7
24,3,quick,16,3,30.0
9,1,quick,18,3,34.5
6,4,general,4,5,6.3
13,4,quick,15,1,9.8
6,4,quick,11,0,5.8
15,2,general,3,6,62.9
21,3,general,8,5,55.5
1,1,general,22,4,8.7
17,4,general,23,6,34.3
20,4,specialist,21,0,85.6
16,1,quick,2,4,48.1
12,2,quick,20,1,16.0
16,2,general,5,1,63.5
16,2,general,2,6,62.0
24,3,specialist,19,4,120.0
27,3,specialist,0,3,136.1
11,2,quick,16,3,22.8
20,3,specialist,4,5,101.2
6,2,general,0,6,21.5
6,1,quick,20,3,15.1
10,4,quick,18,0,12.0
7,4,general,21,2,16.3
1,2,quick,8,4,4.8
25,4,quick,11,1,24.2
19,4,general,22,4,39.1
25,3,specialist,8,0,143.9
24,2,quick,9,0,42.2
7,4,quick,12,4,9.7
16,1,quick,10,2,62.1
13,1,specialist,14,6,195.8
19,1,specialist,16,1,368.8
26,2,specialist,0,1,199.2
20,2,specialist,14,4,150.2
13,2,specialist,21,5,98.3
29,3,specialist,13,4,190.7
16,1,general,10,3,166.8
27,3,quick,12,1,33.6
29,2,quick,15,2,44.1
24,1,general,11,2,248.0
15,1,general,10,2,158.6
12,4,specialist,1,6,45.8
16,3,quick,0,2,17.1
28,2,quick,19,1,41.4
27,4,specialist,3,4,101.2
9,4,specialist,10,4,45.6
24,3,quick,21,4,23.1
12,1,general,2,3,95.3
24,1,quick,1,2,70.7
19,3,general,6,0,58.1
12,2,specialist,13,0,133.2
17,3,general,19,4,42.9
22,4,specialist,12,3,108.7
4,1,specialist,10,0,88.9
10,4,general,3,4,21.4
25,4,quick,20,2,18.4
25,3,quick,14,6,25.3
22,4,general,20,5,43.3
18,4,general,7,0,34.5
24,2,quick,13,3,44.0
14,3,quick,4,0,14.2
3,1,quick,7,6,11.1
24,2,specialist,3,2,181.5
19,4,general,22,4,37.0
24,1,specialist,20,5,359.8
24,1,general,21,5,189.8
3,3,quick,18,5,1.7
14,4,specialist,18,6,71.2
4,2,specialist,17,5,38.0
13,3,general,15,2,33.9
15,3,quick,21,3,13.4
7,1,specialist,20,5,103.8
26,4,quick,9,1,20.0
9,3,specialist,8,0,47.3
16,2,quick,20,4,23.4
8,1,general,18,3,80.8
0,2,quick,6,2,0.0
28,3,quick,22,1,27.2
12,1,quick,8,4,37.4
20,4,specialist,5,3,75.9
0,4,quick,12,6,1.6
3,3,general,2,1,9.4
19,3,specialist,16,2,125.2
0,2,quick,7,5,0.0
0,1,quick,18,5,0.9
0,1,general,7,2,0.0
18,3,general,15,5,44.1
19,1,quick,10,1,76.2
24,3,specialist,23,5,123.0
23,2,general,7,6,92.1
20,2,general,16,3,104.2
16,4,quick,4,2,11.8
26,4,specialist,4,5,98.9
21,3,general,17,0,82.9
12,1,quick,6,3,35.7
13,3,specialist,6,6,66.3
23,1,general,23,3,185.3
7,1,specialist,9,0,120.8
4,2,general,1,5,14.5
25,2,specialist,8,4,184.8
2,3,general,11,6,7.7
15,3,specialist,1,0,87.9
22,3,specialist,21,1,114.2
26,4,quick,14,5,23.0
1,3,quick,19,2,0.0
2,2,specialist,20,1,17.0
26,1,general,0,5,204.0
0,4,quick,1,4,0.0
18,2,general,14,2,70.0
1,4,general,23,5,1.0
6,4,general,16,4,15.3
0,3,general,8,3,1.4
5,4,specialist,9,5,17.0
21,3,general,9,1,57.5
28,4,general,14,6,55.4
18,2,quick,8,2,30.5
19,2,general,8,1,78.8
20,1,general,7,6,160.7
4,2,quick,0,0,8.0
10,4,quick,15,1,10.9
17,4,specialist,0,2,63.1
17,2,specialist,15,6,128.5
9,3,quick,12,5,12.6
26,4,specialist,0,6,96.0
5,1,specialist,16,0,112.2
27,4,quick,6,0,25.3
3,4,quick,5,1,1.8
27,3,specialist,10,4,175.5
6,2,quick,12,3,6.3
3,4,general,10,5,6.4
24,2,quick,13,5,45.0
15,1,general,5,5,123.0
12,3,general,17,6,41.8
3,3,quick,19,2,1.0
24,3,quick,23,1,21.8
22,1,general,19,0,203.6
16,2,general,3,5,62.9
20,1,specialist,6,0,344.1
22,2,general,21,4,90.1
2,4,general,11,6,4.8
12,3,general,14,4,31.9
22,4,specialist,19,6,85.7
11,2,general,1,4,43.1
29,1,specialist,21,5,434.4
3,3,specialist,14,3,15.8
10,4,specialist,8,1,34.7
8,1,quick,23,2,22.9
18,1,quick,0,5,52.3
1,2,specialist,0,4,10.9
1,1,quick,12,5,3.8
6,1,general,6,1,51.9
2,1,general,4,1,16.1
16,2,general,0,0,70.7
20,1,quick,2,6,61.5
23,1,general,21,3,182.1
11,3,general,21,0,35.9
8,2,specialist,18,2,76.7
20,3,general,14,2,56.8
7,4,specialist,18,1,32.0
24,3,specialist,5,3,121.3
1,2,general,16,4,6.1
19,3,general,12,5,63.7
29,3,specialist,13,2,187.1
10,2,quick,19,2,14.6
27,4,specialist,16,0,152.7
24,4,specialist,23,6,86.7
6,2,specialist,4,4,48.6
4,3,specialist,19,0,24.3
27,1,quick,6,3,79.2
2,3,specialist,16,6,15.9
29,2,specialist,4,4,216.8
12,1,specialist,11,1,232.4
1,3,quick,7,4,4.0
10,4,specialist,11,1,46.9
16,2,specialist,22,1,123.0
2,3,specialist,5,0,11.8
25,1,general,12,3,261.1
6,4,specialist,12,2,30.9
22,4,quick,14,3,14.0
4,2,quick,5,3,4.7
5,2,general,4,6,20.9
4,3,general,20,2,12.6
23,3,specialist,23,5,115.7
17,2,quick,6,4,24.6
11,4,specialist,5,2,42.5
26,1,quick,9,2,76.0
10,2,quick,20,2,14.5
21,3,specialist,15,4,107.7
2,2,quick,14,2,4.3
28,1,quick,15,4,87.3
9,2,general,18,2,50.3
15,4,general,10,0,46.3
4,4,specialist,1,6,15.3
11,1,quick,4,2,35.3
13,1,specialist,19,5,195.0
26,2,quick,10,4,48.6
4,4,quick,10,4,6.9
24,3,quick,8,2,21.4
0,4,quick,0,6,1.7
21,2,quick,7,3,28.9
17,4,specialist,13,1,87.3
14,3,general,22,2,38.2
23,4,specialist,5,2,87.2
4,2,specialist,12,4,39.9
10,4,specialist,10,3,50.8
25,4,specialist,19,4,94.1
10,2,quick,15,5,13.5
14,3,quick,15,4,12.0
2,1,quick,23,6,9.0
16,2,quick,19,4,24.6
19,2,quick,20,5,28.6
16,4,quick,20,6,13.5
1,3,general,18,5,4.1
1,2,specialist,6,3,6.1
19,1,specialist,19,6,284.9
7,1,quick,4,5,20.2
6,2,general,23,3,23.0
3,1,general,3,4,25.2
23,3,quick,17,5,28.8
1,2,quick,23,6,2.6
7,2,specialist,4,5,54.2
15,4,specialist,23,2,56.5
9,3,general,22,6,23.8
23,1,general,22,1,181.7
11,3,general,15,1,28.3
14,3,general,14,1,39.8
26,2,general,8,3,104.3
8,4,general,17,4,14.2
15,3,quick,6,0,14.3
3,3,specialist,15,6,15.9
4,1,general,12,0,42.6
27,1,specialist,18,4,530.9
26,1,quick,7,0,89.4
29,1,specialist,5,3,434.9
28,4,specialist,1,5,107.3
29,4,specialist,7,6,108.0
26,4,quick,9,2,17.5
24,4,general,4,5,53.0
12,1,quick,21,3,40.5
19,1,quick,9,1,54.4
16,1,general,0,6,126.8
12,3,specialist,7,1,60.3
6,1,quick,14,2,19.1
28,1,general,16,3,291.1
12,3,specialist,16,5,75.6
12,2,specialist,13,5,119.3
14,4,quick,16,2,15.2
20,4,general,19,1,35.8
2,4,specialist,14,0,12.1
14,4,quick,1,0,15.1
11,2,general,7,2,43.6
18,2,general,10,1,92.5
20,1,general,0,1,160.7
5,4,general,7,6,7.1
8,4,general,18,5,18.7
23,3,general,2,2,62.3
23,3,quick,16,5,30.3
4,3,specialist,1,5,20.7
25,4,specialist,16,2,122.9
16,4,general,19,1,33.8
2,4,specialist,18,1,12.7
0,4,specialist,7,2,0.7
26,4,specialist,3,5,97.6
23,3,general,14,3,60.0
23,2,quick,1,2,30.5
25,1,specialist,21,1,372.4
25,3,quick,2,4,26.7
2,3,quick,15,0,3.6
17,3,specialist,14,1,82.8
22,4,quick,3,6,16.2
24,1,specialist,2,1,358.1
29,1,general,19,5,229.9
13,2,general,14,1,51.9
23,1,quick,13,0,103.4
22,3,general,10,3,74.2
2,4,quick,17,4,5.8
24,2,quick,7,1,37.6
28,3,general,7,6,74.2
26,4,general,22,4,52.3
8,1,general,5,4,64.4
11,4,quick,10,3,11.3
28,4,quick,12,2,26.4
25,3,specialist,8,6,121.9
22,2,general,23,6,85.0
24,1,general,14,0,221.1
20,2,quick,9,5,29.5
16,3,quick,12,5,21.1
16,1,general,21,1,127.1
13,2,general,5,2,54.1
21,3,quick,7,4,22.5
5,4,quick,20,2,5.1
22,1,general,21,1,175.0
26,2,general,19,5,104.1
24,1,specialist,17,3,467.3
10,3,quick,14,2,10.3
2,1,quick,11,2,9.2
23,4,specialist,15,3,82.2
17,3,general,16,6,58.4
13,4,general,5,1,24.4
29,3,general,15,6,76.6
27,2,specialist,3,4,201.8
21,3,general,1,6,54.2
11,4,specialist,7,6,39.0
24,1,quick,6,1,71.0
20,1,specialist,17,1,389.5
10,2,general,6,3,40.6
13,1,specialist,5,1,196.5
9,4,general,22,5,17.9
5,4,general,4,1,12.4
